order_id,customer_id,product_name,quantity,unit_price,order_date,status,country,customer_email,payment_method,shipping_cost,order_total
ORD000469,CUST00158,Laptop,9,1320.72,2026-04-13 15:03:23.515300,Cancelled,Belgium,cust469@example.com,Credit Card,24.71,11911.189999999999
ORD000133,CUST00193,Mouse,1,723.36,2026-03-13 15:03:23.515374,Shipped,Germany,cust133@example.com,Bitcoin,11.46,734.82
ORD000249,CUST00148,Mouse,2,357.9,2026-02-12 15:03:23.515439,Shipped,UK,cust249@example.com,Credit Card,36.62,752.42
ORD000464,CUST00144,Screen,8,780.99,2026-02-24 15:03:23.515411,Cancelled,USA,cust464@example.com,Credit Card,18.57,6266.49
ORD000005,CUST00107,Screen,0,1197.15,2026-02-11 15:03:23.515441,Cancelled,UK,cust5@example.com,PayPal,4.88,2399.1800000000003
ORD000398,CUST00017,Laptop,7,790.12,2026-04-30 15:03:23.515261,Shipped,Germany,cust398@example.com,Bank Transfer,38.84,5569.68
ORD000499,CUST00192,Laptop,8,812.24,2026-03-30 15:03:23.515337,Pending,France,cust499@example.com,Bank Transfer,22.74,6520.66
ORD000011,CUST00075,Laptop,8,1047.72,2026-03-27 15:03:23.515344,Delivered,Germany,cust11@example.com,Bitcoin,21.48,8403.24
ORD000441,CUST00180,Keyboard,6,893.74,2026-03-18 15:03:23.515364,Processing,USA,cust441@example.com,Bank Transfer,4.01,5366.450000000001
ORD000263,CUST00039,Headphones,5,997.39,2026-03-03 15:03:23.515394,Delivered,Germany,cust263@example.com,Credit Card,49.31,5036.26
ORD000394,CUST00194,Headphones,2,187.22,2026-03-20 15:03:23.515359,Cancelled,UK,cust394@example.com,PayPal,13.92,388.36
ORD000403,CUST00176,Laptop,1,1444.58,2026-03-07 15:03:23.515386,Delivered,Netherlands,cust403@example.com,Bitcoin,38.68,1483.26
ORD000297,CUST00152,Keyboard,4,306.77,2026-03-26 15:03:23.515346,Delivered,France,cust297@example.com,Bank Transfer,34.86,1261.9399999999998
ORD000207,CUST00039,Tablet,3,1481.54,2026-03-16 15:03:23.515368,Delivered,Germany,cust207@example.com,Credit Card,46.23,4490.849999999999
ORD000025,CUST00192,Headphones,7,1249.04,2026-04-08 15:03:23.515311,Processing,Netherlands,cust25@example.com,Bitcoin,25.08,8768.359999999999
ORD000365,CUST00099,USB Cable,7,872.36,2026-04-22 15:03:23.515280,Pending,France,cust365@example.com,Credit Card,42.63,6149.150000000001
ORD000449,CUST00053,Monitor,8,1040.19,2026-04-18 15:03:23.515289,Shipped,USA,cust449@example.com,PayPal,,8347.1
ORD000461,CUST00055,Keyboard,2,343.85,2026-03-30 15:03:23.515337,Cancelled,USA,cust461@example.com,Credit Card,28.47,716.1700000000001
ORD000202,CUST00113,Phone,3,1092.12,2026-03-31 15:03:23.515335,Processing,Germany,cust202@example.com,Bank Transfer,36.03,3312.39
ORD000092,CUST00111,Headphones,4,51.55,2026-04-03 15:03:23.515322,Cancelled,France,cust92@example.com,PayPal,18.66,224.85999999999999
ORD000120,CUST00135,Monitor,100,1197.35,2026-04-25 15:03:23.515273,Delivered,France,cust120@example.com,PayPal,10.73,10786.88
ORD000028,CUST00161,Monitor,6,434.12,2026-03-10 15:03:23.515381,Pending,Germany,cust28@example.com,Credit Card,46.76,2651.4800000000005
ORD000489,CUST00034,Monitor,5,1135.46,2026-02-09 15:03:23.515445,Pending,Netherlands,cust489@example.com,PayPal,,5687.51
ORD000442,CUST00170,Keyboard,5,747.67,2026-04-19 15:03:23.515287,Processing,France,cust442@example.com,Credit Card,15.61,3753.96
ORD000309,CUST00146,USB Cable,8,748.28,2026-02-07 15:03:23.515450,Cancelled,USA,cust309@example.com,Bitcoin,0.67,5986.91
ORD000213,CUST00184,Tablet,6,732.57,2026-03-20 15:03:23.515359,Cancelled,USA,cust213@example.com,Bitcoin,43.63,4439.05
ORD000211,CUST00101,Monitor,4,660.73,2026-02-06 15:03:23.515452,Pending,Belgium,cust211@example.com,Credit Card,37.13,2680.05
ORD000127,CUST00062,Screen,9,902.03,2026-04-18 15:03:23.515289,Delivered,Belgium,cust127@example.com,Bitcoin,40.36,8158.629999999999
ORD000353,CUST00048,USB Cable,8,907.16,2026-04-13 15:03:23.515300,Shipped,Germany,cust353@example.com,Credit Card,0.73,7258.009999999999
ORD000321,CUST00142,Screen,9,164.36,2026-04-07 15:03:23.515313,Delivered,Belgium,cust321@example.com,Credit Card,49.09,1528.3300000000002
ORD000051,CUST00018,Laptop,4,522.1,2026-03-13 15:03:23.515374,Pending,UK,cust51@example.com,Bank Transfer,49.1,2137.5
ORD000495,CUST00117,Tablet,2,601.98,2026-04-10 15:03:23.515306,Cancelled,USA,cust495@example.com,Bitcoin,34.27,1238.23
ORD000033,CUST00059,Laptop,1,952.84,2026-04-19 15:03:23.515287,Cancelled,Germany,cust33@example.com,Bank Transfer,,960.98
ORD000430,CUST00051,Headphones,6,256.18,2026-04-16 15:03:23.515293,Processing,UK,cust430@example.com,Bitcoin,33.71,1570.79
ORD000154,CUST00143,Laptop,4,304.22,2026-02-06 15:03:23.515452,Delivered,Germany,cust154@example.com,Bank Transfer,44.25,1261.13
ORD000257,CUST00096,Headphones,9,927.63,2026-03-16 15:03:23.515368,Shipped,Netherlands,cust257@example.com,Bank Transfer,8.35,8357.02
ORD000350,CUST00192,Screen,5,563.01,2026-03-01 15:03:23.515398,Delivered,Netherlands,cust350@example.com,PayPal,17.51,2832.5600000000004
ORD000490,CUST00096,Laptop,2,524.62,2026-04-10 15:03:23.515306,Delivered,France,cust490@example.com,Bank Transfer,2.12,1051.36
ORD000385,CUST00067,Keyboard,7,430.88,2026-02-08 15:03:23.515448,Pending,France,,PayPal,21.55,3037.71
ORD000302,CUST00166,Mouse,6,668.41,2026-04-21 15:03:23.515282,Cancelled,Belgium,cust302@example.com,Bitcoin,6.37,4016.83
ORD000131,CUST00104,Keyboard,2,1170.88,2026-04-17 15:03:23.515291,Cancelled,Netherlands,cust131@example.com,PayPal,21.92,2363.6800000000003
ORD000238,CUST00116,Laptop,9,891.46,2026-02-10 15:03:23.515443,Cancelled,France,cust238@example.com,PayPal,19.24,8042.38
ORD000194,CUST00051,Mouse,7,977.24,2026-03-17 15:03:23.515366,Pending,Belgium,cust194@example.com,Bitcoin,0.57,6841.25
ORD000281,CUST00129,Screen,8,67.15,2026-03-10 15:03:23.515381,Shipped,Belgium,cust281@example.com,Bitcoin,25.61,562.8100000000001
ORD000372,CUST00095,Laptop,4,32.26,2026-02-18 15:03:23.515424,Delivered,Germany,cust372@example.com,Bank Transfer,29.43,158.47
ORD000306,CUST00099,Mouse,6,1257.98,2026-04-27 15:03:23.515269,Shipped,Germany,cust306@example.com,Credit Card,41.03,7588.91
ORD000301,CUST00164,USB Cable,3,1010.54,2026-04-13 15:03:23.515300,Cancelled,France,cust301@example.com,PayPal,10.17,3041.79
ORD000143,CUST00015,Mouse,1,493.06,2026-04-20 15:03:23.515285,Delivered,USA,cust143@example.com,PayPal,17.8,510.86
ORD000479,CUST00117,USB Cable,9,700.48,2026-04-10 15:03:23.515306,Delivered,USA,,Credit Card,46.25,6350.57
ORD000043,CUST00055,Mouse,6,158.25,2026-04-04 15:03:23.515320,Pending,Netherlands,cust43@example.com,Credit Card,12.36,961.86
ORD000389,CUST00114,USB Cable,4,470.41,2026-03-27 15:03:23.515344,Pending,Netherlands,cust389@example.com,Credit Card,37.41,1919.0500000000002
ORD000124,CUST00033,Phone,-1,113.31,2026-03-03 15:03:23.515394,Processing,Netherlands,cust124@example.com,Bank Transfer,16.35,1036.1399999999999
ORD000118,CUST00041,Monitor,9,875.05,2026-02-06 15:03:23.515452,Delivered,USA,cust118@example.com,Bitcoin,30.86,7906.3099999999995
ORD000345,CUST00021,Keyboard,3,597.28,2026-05-03 15:03:23.515239,Pending,Germany,cust345@example.com,Credit Card,2.43,1794.27
ORD000407,CUST00099,Screen,9,69.9,2026-03-31 15:03:23.515335,Processing,USA,cust407@example.com,PayPal,23.2,652.3000000000001
ORD000457,CUST00116,Case,3,133.06,2026-02-12 15:03:23.515439,Delivered,UK,cust457@example.com,Bank Transfer,36.65,435.83
ORD000086,CUST00095,Monitor,8,414.95,2026-02-25 15:03:23.515408,Delivered,UK,cust86@example.com,Credit Card,34.79,3354.39
ORD000357,CUST00192,Screen,9,572.78,2026-03-24 15:03:23.515350,Pending,Netherlands,cust357@example.com,PayPal,33.12,5188.139999999999
ORD000117,CUST00005,Case,100,100.99,2026-02-20 15:03:23.515419,Delivered,Netherlands,,Bank Transfer,36.29,541.24
ORD000180,CUST00190,Laptop,8,243.52,2026-03-13 15:03:23.515374,Shipped,Germany,cust180@example.com,PayPal,7.22,1955.38
ORD000226,CUST00172,USB Cable,2,1364.0,2026-03-14 15:03:23.515372,Cancelled,UK,cust226@example.com,Credit Card,17.44,2745.44
ORD000418,CUST00065,Screen,2,1350.53,2026-04-12 15:03:23.515302,Processing,Belgium,cust418@example.com,Bank Transfer,36.81,2737.87
ORD000380,CUST00128,Mouse,2,1401.98,2026-04-14 15:03:23.515298,Pending,USA,cust380@example.com,Bank Transfer,29.23,2833.19
ORD000102,CUST00065,Case,9,1267.95,2026-03-05 15:03:23.515390,Pending,Germany,cust102@example.com,PayPal,22.45,11434.000000000002
ORD000212,CUST00113,Screen,5,1089.26,2026-02-05 15:03:23.515454,Delivered,Germany,cust212@example.com,PayPal,3.83,5450.13
ORD000136,CUST00131,Screen,8,1480.06,2026-03-15 15:03:23.515370,Pending,USA,cust136@example.com,Credit Card,35.04,11875.52
ORD000390,CUST00032,Keyboard,6,917.45,2026-03-19 15:03:23.515362,Cancelled,UK,cust390@example.com,Credit Card,11.25,5515.950000000001
ORD000370,CUST00046,Laptop,7,1078.59,2026-03-12 15:03:23.515376,Shipped,France,cust370@example.com,Bank Transfer,35.64,7585.7699999999995
ORD000252,CUST00147,Laptop,9,782.06,2026-02-20 15:03:23.515419,Delivered,Belgium,cust252@example.com,PayPal,31.73,7070.269999999999
ORD000286,CUST00160,Keyboard,1,1427.96,2026-02-04 15:03:23.515456,Pending,France,cust286@example.com,Bitcoin,47.57,1475.53
ORD000177,CUST00075,Laptop,3,127.04,2026-03-31 15:03:23.515335,Delivered,USA,cust177@example.com,PayPal,41.68,422.8
ORD000500,CUST00191,Headphones,100,1263.84,2026-03-10 15:03:23.515381,Delivered,Germany,cust500@example.com,Bitcoin,34.29,10145.01
ORD000428,CUST00191,Case,5,680.39,2026-03-10 15:03:23.515381,Pending,Belgium,cust428@example.com,Credit Card,46.68,3448.6299999999997
ORD000477,CUST00183,Keyboard,9,838.89,2026-03-30 15:03:23.515337,Processing,Belgium,cust477@example.com,Credit Card,43.18,7593.1900000000005
ORD000163,CUST00028,Screen,8,1065.05,2026-03-12 15:03:23.515376,Delivered,Germany,cust163@example.com,PayPal,14.57,8534.97
ORD000091,CUST00082,Phone,4,323.59,2026-04-21 15:03:23.515282,Shipped,Netherlands,cust91@example.com,PayPal,35.19,1329.55
ORD000064,CUST00199,Screen,1,1156.76,2026-04-24 15:03:23.515276,Processing,Belgium,cust64@example.com,Credit Card,48.86,1205.62
ORD000055,CUST00014,Keyboard,9,1460.37,2026-04-13 15:03:23.515300,Cancelled,Belgium,cust55@example.com,Bank Transfer,39.05,13182.379999999997
ORD000413,CUST00135,Mouse,1,345.98,2026-03-05 15:03:23.515390,Cancelled,France,cust413@example.com,Bank Transfer,42.91,388.89
ORD000412,CUST00060,USB Cable,1,1326.89,2026-03-05 15:03:23.515390,Shipped,Belgium,cust412@example.com,Bank Transfer,31.5,1358.39
ORD000363,CUST00117,Case,7,573.39,2026-03-07 15:03:23.515386,Cancelled,Germany,cust363@example.com,Bank Transfer,21.66,4035.39
ORD000139,CUST00142,Phone,4,929.14,2026-03-03 15:03:23.515394,Cancelled,Belgium,cust139@example.com,Bank Transfer,40.92,3757.48
ORD000329,CUST00145,Mouse,7,852.69,2026-03-22 15:03:23.515355,Delivered,USA,cust329@example.com,Bitcoin,3.5,5972.33
ORD000044,CUST00064,Keyboard,6,1406.16,2026-02-05 15:03:23.515454,Cancelled,Netherlands,cust44@example.com,Credit Card,17.79,8454.750000000002
ORD000138,CUST00005,USB Cable,7,750.84,2026-03-02 15:03:23.515396,Pending,USA,cust138@example.com,Bank Transfer,32.7,5288.58
ORD000448,CUST00008,Mouse,3,1077.81,2026-02-03 15:03:23.515459,Delivered,Belgium,cust448@example.com,Bitcoin,6.63,3240.06
ORD000077,CUST00106,Case,4,983.49,2026-03-24 15:03:23.515350,Delivered,Belgium,cust77@example.com,Credit Card,31.54,3965.5
ORD000211,CUST00101,Monitor,4,660.73,2026-02-06 15:03:23.515452,Pending,Belgium,cust211@example.com,Credit Card,37.13,2680.05
ORD000168,CUST00185,Mouse,-1,1223.16,2026-02-12 15:03:23.515439,Cancelled,France,cust168@example.com,Bank Transfer,16.68,2463.0
ORD000203,CUST00062,Case,3,1115.35,2026-04-26 15:03:23.515271,Shipped,Belgium,cust203@example.com,PayPal,41.32,3387.37
ORD000282,CUST00048,Screen,2,226.77,2026-02-20 15:03:23.515419,Cancelled,UK,cust282@example.com,PayPal,5.71,459.25
ORD000045,CUST00131,Laptop,3,1033.39,2026-04-04 15:03:23.515320,Pending,Belgium,cust45@example.com,Bitcoin,4.2,3104.37
ORD000411,CUST00013,Monitor,5,1229.69,2026-04-03 15:03:23.515322,Pending,France,cust411@example.com,Bitcoin,41.22,6189.670000000001
ORD000244,CUST00124,Screen,8,491.16,2026-04-29 15:03:23.515263,Shipped,Germany,cust244@example.com,Bitcoin,39.47,3968.75
ORD000322,CUST00021,Laptop,9,988.48,2026-03-15 15:03:23.515370,Pending,Netherlands,cust322@example.com,Bank Transfer,22.52,8918.84
ORD000181,CUST00129,USB Cable,7,1308.32,2026-04-05 15:03:23.515318,Processing,Belgium,cust181@example.com,Bitcoin,39.2,9197.44
ORD000258,CUST00199,Headphones,6,1061.63,2026-03-29 15:03:23.515339,Shipped,France,cust258@example.com,PayPal,,6381.97
ORD000367,CUST00037,Laptop,3,913.82,2026-02-15 15:03:23.515432,Cancelled,Belgium,cust367@example.com,Bitcoin,37.91,2779.37
ORD000429,CUST00086,Laptop,5,881.98,2026-03-10 15:03:23.515381,Delivered,Belgium,cust429@example.com,Credit Card,40.07,4449.969999999999
ORD000150,CUST00052,Tablet,1,203.41,2026-04-13 15:03:23.515300,Cancelled,Belgium,cust150@example.com,Bank Transfer,29.85,233.26
ORD000486,CUST00058,Mouse,-1,806.06,2026-03-05 15:03:23.515390,Shipped,Germany,cust486@example.com,Credit Card,37.39,6485.87
ORD000084,CUST00190,Laptop,8,959.6,2026-04-09 15:03:23.515309,Delivered,Netherlands,cust84@example.com,Credit Card,3.42,7680.22
ORD000259,CUST00052,USB Cable,6,254.73,2026-02-25 15:03:23.515408,Shipped,UK,cust259@example.com,Bank Transfer,13.38,1541.76
ORD000262,CUST00128,Phone,7,1105.92,2026-02-04 15:03:23.515456,Pending,Belgium,cust262@example.com,Credit Card,28.6,7770.040000000001
ORD000167,CUST00062,Keyboard,3,512.48,2026-03-29 15:03:23.515339,Processing,UK,cust167@example.com,Bitcoin,39.99,1577.43
ORD000424,CUST00092,Mouse,1,638.49,2026-03-01 15:03:23.515398,Shipped,Germany,cust424@example.com,Bank Transfer,35.34,673.83
ORD000012,CUST00088,Monitor,9,1021.81,2026-04-20 15:03:23.515285,Processing,USA,cust12@example.com,PayPal,15.44,9211.73
ORD000101,CUST00045,Monitor,8,1157.53,2026-05-02 15:03:23.515252,Delivered,UK,cust101@example.com,Bank Transfer,5.85,9266.09
ORD000288,CUST00099,Laptop,2,1302.54,2026-04-04 15:03:23.515320,Shipped,UK,cust288@example.com,Bank Transfer,30.57,2635.65
ORD000160,CUST00071,Keyboard,1,1404.64,2026-02-08 15:03:23.515448,Pending,Germany,cust160@example.com,Bank Transfer,25.68,1430.3200000000002
ORD000415,CUST00036,Tablet,8,918.42,2026-03-16 15:03:23.515368,Delivered,Netherlands,cust415@example.com,PayPal,21.45,7368.8099999999995
ORD000002,CUST00180,USB Cable,5,850.77,2026-02-09 15:03:23.515445,Processing,Netherlands,cust2@example.com,Credit Card,39.88,4293.7300000000005
ORD000096,CUST00188,Case,8,712.45,2026-03-05 15:03:23.515390,Processing,USA,cust96@example.com,PayPal,29.18,5728.780000000001
ORD000140,CUST00103,Tablet,6,1055.19,2026-04-27 15:03:23.515269,Delivered,UK,cust140@example.com,Bank Transfer,2.5,6333.64
ORD000470,CUST00147,Monitor,9,978.06,2026-02-19 15:03:23.515422,Shipped,Netherlands,cust470@example.com,Credit Card,43.05,8845.589999999998
ORD000425,CUST00098,Tablet,9,1002.99,2026-04-15 15:03:23.515296,Delivered,Netherlands,cust425@example.com,Bitcoin,48.36,9075.27
ORD000046,CUST00051,Laptop,7,106.42,2026-02-15 15:03:23.515432,Pending,UK,cust46@example.com,Bitcoin,16.67,761.61
ORD000234,CUST00145,Mouse,4,1306.77,2026-04-03 15:03:23.515322,Pending,Germany,cust234@example.com,Credit Card,14.8,5241.88
ORD000108,CUST00136,Keyboard,4,926.89,2026-03-31 15:03:23.515335,Shipped,France,cust108@example.com,Bank Transfer,31.26,3738.82
ORD000225,CUST00053,Keyboard,2,1075.16,2026-05-03 15:03:23.515239,Pending,Germany,cust225@example.com,Bank Transfer,41.44,2191.76
ORD000135,CUST00175,Screen,6,366.86,2026-03-27 15:03:23.515344,Shipped,Netherlands,cust135@example.com,Credit Card,33.53,2234.69
ORD000023,CUST00038,Screen,8,245.34,2026-03-03 15:03:23.515394,Delivered,Netherlands,cust23@example.com,Bank Transfer,15.83,1978.55
ORD000121,CUST00072,Headphones,4,468.99,2026-04-13 15:03:23.515300,Cancelled,Belgium,,Credit Card,33.25,1909.21
ORD000239,CUST00098,USB Cable,2,249.47,2026-04-27 15:03:23.515269,Processing,Netherlands,cust239@example.com,Credit Card,24.47,523.41
ORD000498,CUST00189,Keyboard,3,1390.87,2026-04-27 15:03:23.515269,Pending,Germany,cust498@example.com,Bank Transfer,22.68,4195.29
ORD000278,CUST00060,Mouse,5,1401.14,2026-04-17 15:03:23.515291,Pending,USA,cust278@example.com,Bank Transfer,46.66,7052.360000000001
ORD000156,CUST00029,Case,6,161.33,2026-03-26 15:03:23.515346,Processing,Belgium,cust156@example.com,Credit Card,24.68,992.66
ORD000423,CUST00143,Screen,9,1234.81,2026-04-03 15:03:23.515322,Cancelled,Germany,cust423@example.com,Credit Card,40.64,11153.929999999998
ORD000400,CUST00161,USB Cable,3,164.78,2026-05-01 15:03:23.515258,Cancelled,Belgium,cust400@example.com,PayPal,23.08,517.4200000000001
ORD000395,CUST00127,Screen,7,275.82,2026-04-14 15:03:23.515298,Cancelled,USA,cust395@example.com,Credit Card,32.74,1963.48
ORD000061,CUST00092,Tablet,6,38.07,2026-02-15 15:03:23.515432,Pending,Netherlands,cust61@example.com,Credit Card,45.74,274.16
ORD000356,CUST00035,Case,9,697.92,2026-02-27 15:03:23.515404,Pending,Netherlands,cust356@example.com,PayPal,19.33,6300.61
ORD000406,CUST00026,Monitor,8,827.59,2026-04-10 15:03:23.515306,Cancelled,UK,cust406@example.com,Credit Card,10.86,6631.58
ORD000388,CUST00024,Screen,100,811.05,2026-02-19 15:03:23.515422,Shipped,USA,cust388@example.com,PayPal,31.84,842.89
ORD000159,CUST00160,USB Cable,7,52.22,2026-04-21 15:03:23.515282,Cancelled,USA,cust159@example.com,PayPal,19.87,385.40999999999997
ORD000348,CUST00028,Headphones,1,675.8,2026-02-28 15:03:23.515400,Pending,UK,cust348@example.com,PayPal,27.4,703.1999999999999
ORD000289,CUST00147,USB Cable,6,684.84,2026-02-09 15:03:23.515445,Delivered,Belgium,cust289@example.com,Bank Transfer,42.87,4151.91
ORD000410,CUST00152,Mouse,4,904.41,2026-04-15 15:03:23.515296,Cancelled,Germany,cust410@example.com,Credit Card,44.42,3662.06
ORD000129,CUST00099,Screen,2,1044.0,2026-04-30 15:03:23.515261,Processing,France,cust129@example.com,Bank Transfer,40.86,2128.86
ORD000266,CUST00129,Screen,5,1209.48,2026-03-29 15:03:23.515339,Pending,Netherlands,cust266@example.com,Credit Card,43.57,6090.969999999999
ORD000451,CUST00108,USB Cable,5,196.95,2026-03-04 15:03:23.515392,Processing,Belgium,cust451@example.com,Bank Transfer,46.92,1031.67
ORD000368,CUST00024,Screen,8,1148.5,2026-04-20 15:03:23.515285,Pending,USA,cust368@example.com,Bank Transfer,15.35,9203.35
ORD000057,CUST00090,Keyboard,5,1125.73,2026-02-27 15:03:23.515404,Delivered,UK,cust57@example.com,PayPal,30.06,5658.71
ORD000147,CUST00179,Headphones,5,54.64,2026-03-10 15:03:23.515381,Shipped,France,cust147@example.com,Bitcoin,17.74,290.94
ORD000119,CUST00028,Headphones,5,407.15,2026-02-10 15:03:23.515443,Pending,Netherlands,cust119@example.com,Bitcoin,36.97,2072.72
ORD000248,CUST00003,Laptop,1,683.42,2026-03-27 15:03:23.515344,Cancelled,USA,cust248@example.com,Bitcoin,20.71,704.13
ORD000462,CUST00168,Headphones,2,535.72,2026-03-19 15:03:23.515362,Processing,France,cust462@example.com,PayPal,43.42,1114.8600000000001
ORD000110,CUST00139,Phone,7,724.88,2026-02-04 15:03:23.515456,Shipped,Belgium,cust110@example.com,Credit Card,2.52,5076.68
ORD000142,CUST00137,Case,8,19.61,2026-02-07 15:03:23.515450,Cancelled,Belgium,cust142@example.com,PayPal,1.48,158.35999999999999
ORD000307,CUST00153,Monitor,6,1417.2,2026-04-11 15:03:23.515304,Delivered,USA,cust307@example.com,Bitcoin,20.23,8523.43
ORD000017,CUST00131,Phone,5,1308.41,2026-05-02 15:03:23.515252,Delivered,France,cust17@example.com,Bank Transfer,47.62,6589.67
ORD000295,CUST00120,Headphones,5,465.36,2026-04-13 15:03:23.515300,Cancelled,Belgium,cust295@example.com,PayPal,44.08,2370.88
ORD000346,CUST00030,Keyboard,8,1044.72,2026-04-29 15:03:23.515263,Pending,Netherlands,cust346@example.com,Credit Card,29.05,8386.81
ORD000379,CUST00067,Tablet,3,95.1,2026-04-30 15:03:23.515261,Shipped,France,cust379@example.com,Bitcoin,27.9,313.19999999999993
ORD000158,CUST00013,Monitor,1,1061.18,2026-02-28 15:03:23.515400,Shipped,Germany,cust158@example.com,PayPal,39.34,1100.52
ORD000031,CUST00089,Keyboard,1,949.56,2026-04-12 15:03:23.515302,Cancelled,France,cust31@example.com,PayPal,31.4,980.9599999999999
ORD000240,CUST00198,Laptop,5,589.67,2026-04-06 15:03:23.515316,Shipped,Netherlands,cust240@example.com,PayPal,21.48,2969.83
ORD000332,CUST00176,Phone,2,609.19,2026-03-09 15:03:23.515383,Shipped,USA,cust332@example.com,Bitcoin,35.33,1253.71
ORD000169,CUST00134,Screen,1,124.77,2026-03-05 15:03:23.515390,Shipped,Germany,cust169@example.com,PayPal,43.26,168.03
ORD000275,CUST00144,Laptop,7,63.82,2026-04-23 15:03:23.515278,Delivered,Netherlands,cust275@example.com,Bitcoin,47.26,494.0
ORD000405,CUST00170,Case,9,1209.96,2026-04-30 15:03:23.515261,Pending,Netherlands,cust405@example.com,PayPal,7.53,10897.17
ORD000354,CUST00147,Laptop,9,1003.98,2026-03-19 15:03:23.515362,Delivered,USA,cust354@example.com,Credit Card,10.36,9046.18
ORD000360,CUST00172,Screen,7,721.38,2026-03-29 15:03:23.515339,Pending,Netherlands,cust360@example.com,PayPal,7.93,5057.59
ORD000255,CUST00147,USB Cable,9,649.18,2026-03-15 15:03:23.515370,Processing,UK,cust255@example.com,Bitcoin,10.59,5853.21
ORD000343,CUST00027,Mouse,1,490.26,2026-04-18 15:03:23.515289,Shipped,Belgium,cust343@example.com,Bitcoin,4.77,495.03
ORD000491,CUST00126,Headphones,6,999.04,2026-02-04 15:03:23.515456,Delivered,Germany,cust491@example.com,Bitcoin,28.99,6023.23
ORD000438,CUST00058,Phone,4,822.31,2026-02-23 15:03:23.515413,Shipped,Belgium,cust438@example.com,PayPal,42.46,3331.7
ORD000280,CUST00002,Phone,6,763.32,2026-04-16 15:03:23.515293,Pending,USA,cust280@example.com,Bank Transfer,49.02,4628.9400000000005
ORD000352,CUST00061,Headphones,6,114.43,2026-04-24 15:03:23.515276,Shipped,France,cust352@example.com,Credit Card,37.93,724.51
ORD000422,CUST00115,Monitor,5,415.84,2026-03-07 15:03:23.515386,Processing,France,cust422@example.com,Credit Card,37.4,2116.6
ORD000254,CUST00195,Phone,2,1244.18,2026-02-14 15:03:23.515435,Pending,UK,cust254@example.com,Credit Card,5.92,2494.28
ORD000282,CUST00048,Screen,-1,226.77,2026-02-20 15:03:23.515419,Cancelled,UK,cust282@example.com,PayPal,5.71,459.25
ORD000336,CUST00022,Monitor,2,1144.62,2026-04-11 15:03:23.515304,Delivered,France,cust336@example.com,Bank Transfer,17.5,2306.74
